month,rainfall_mm,temp_mean
2011-01-01,450.65666666666664,22.167634408602147
2011-02-01,314.03,22.880119047619047
2011-03-01,109.26,24.0297311827957
2011-04-01,255.6933333333333,24.409944444444445
2011-05-01,111.72999999999999,24.91741935483871
2011-06-01,69.13666666666666,25.103111111111108
2011-07-01,126.01333333333332,24.695161290322577
2011-08-01,140.43,24.487634408602148
2011-09-01,157.83666666666664,24.574611111111107
2011-10-01,340.0928213398035,25.111126653742744
2011-11-01,259.38181212369705,24.15026730567111
2011-12-01,299.8957704597452,23.907443615519018
2012-01-01,74.70747462847994,23.7143764669001
2012-02-01,156.8062753533631,24.272306886977162
2012-03-01,110.28664453457232,25.30734772919362
2012-04-01,228.9255646709506,25.092110804226245
2012-05-01,68.29189592515665,25.75940192878467
2012-06-01,129.49313731846053,25.549146193369918
2012-07-01,150.13069414997392,25.564248496942604
2012-08-01,171.5774904504771,25.260430950882274
2012-09-01,187.21355330237606,25.36023118502061
2012-10-01,513.8799088902961,24.845796491812234
2012-11-01,423.2454294532347,24.401128837137385
2012-12-01,256.06836184187296,23.98298530628115
2013-01-01,242.93060930967312,23.805757785008808
2013-02-01,164.1778092335813,24.264071308050394
2013-03-01,240.3384456725277,25.134979249623786
2013-04-01,132.7118012359901,25.830411835318365
2013-05-01,232.51651884550265,25.583683134935676
2013-06-01,290.52795028328717,24.73895112393139
2013-07-01,174.67610467576154,24.959607961626332
2013-08-01,158.09340353017575,24.924311064899822
2013-09-01,188.26973549850766,24.53337088204716
2013-10-01,245.08201390667165,24.755748789066065
2013-11-01,236.38787396821516,24.247017539107706
2013-12-01,178.67571086039663,23.861723956856075
2014-01-01,113.07456362578444,23.882552343720796
2014-02-01,30.754964066028016,24.658580006208112
2014-03-01,71.10101469803291,25.90777655331076
2014-04-01,239.48451070448266,25.74059336552137
2014-05-01,224.07513823431447,25.570081189840966
2014-06-01,126.13105685630057,25.52685504150385
2014-07-01,135.23426281783523,25.480007806705448
2014-08-01,190.97556512954412,25.06805927524664
2014-09-01,221.96566594737868,25.044995401824156
2014-10-01,517.0566130465593,24.63854829143056
2014-11-01,385.00992584220216,24.07074839579745
