month,usd_lkr_avg,usd_lkr_volatility
2011-01-01,110.12534516433189,1.1537607867583042
2011-02-01,110.45071247645787,0.8998466623926075
2011-03-01,109.92887066256615,0.9835148832188159
2011-04-01,109.81533457438151,0.8594054514121535
2011-05-01,109.37193618282195,0.6752649686247972
2011-06-01,109.19050013224283,0.819866126188497
2011-07-01,108.82145174088016,1.041319512954719
2011-08-01,108.97645076628655,1.2602712262254814
2011-09-01,109.71999994913737,0.6239530279851451
2011-10-01,109.5856451219128,1.0737475262104716
2011-11-01,110.74133326212565,1.9797602780875672
2011-12-01,113.49209594726562,0.6024805515594404
2012-01-01,113.61499958653604,0.5215787998785395
2012-02-01,116.80586216367524,2.7021950420430025
2012-03-01,125.02209595711001,3.749301929984753
2012-04-01,128.24566726684571,2.04241442714446
2012-05-01,128.7319343320785,1.416570108904883
2012-06-01,131.40516866048176,1.8068778060349093
2012-07-01,132.56274266396798,1.154885813036424
2012-08-01,131.85016066028226,0.41624610473391843
2012-09-01,131.41400044759115,1.009413107140094
2012-10-01,128.7979022610572,1.0446874855612405
2012-11-01,129.9524996439616,0.7553394436077462
2012-12-01,128.07935456306703,1.078972978738235
2013-01-01,126.66725749354208,0.6639567332786261
2013-02-01,126.5583929334368,0.48165694705593975
2013-03-01,126.73064422607422,0.4389344938677024
2013-04-01,125.7995002746582,0.6240506712214527
2013-05-01,126.09806454566217,0.2749896593470636
2013-06-01,127.52349853515625,1.5725895819897966
2013-07-01,130.73451380575858,1.0163918352539927
2013-08-01,131.7175790109942,0.7150704006402605
2013-09-01,132.17350006103516,0.7668863356241673
2013-10-01,130.64274351058467,0.8701595254183067
2013-11-01,130.9741668701172,0.0906015471904523
2013-12-01,130.7012900075605,0.12953750502593586
2014-01-01,130.52548513104838,0.3534072044828508
2014-02-01,130.57714353288924,0.6111208510079897
2014-03-01,130.52435450400077,0.11762618826666416
2014-04-01,130.50499877929687,0.05711327593906131
2014-05-01,130.24935420866936,0.48162201000477245
2014-06-01,130.1768325805664,0.049034199001552765
2014-07-01,130.11112828408517,0.045582542939119834
2014-08-01,130.07161441926033,0.04406951402265601
2014-09-01,129.89766743977864,0.7115108855687277
2014-10-01,130.38225924584174,0.4916938560147781
2014-11-01,130.76100107828776,0.42402097731568633
2014-12-01,131.05887185373615,0.06643010740664791
2015-01-01,131.2348406391759,0.7335055122706052
2015-02-01,129.6957141331264,0.28839749484269284
2015-03-01,129.8648391231414,0.17781873665680212
2015-04-01,129.58133443196616,0.45914985886730797
2015-05-01,130.4045159124559,0.3276255868542522
2015-06-01,130.83699951171874,0.15664931522173636
2015-07-01,130.55225643034905,0.18589707317874307
2015-08-01,130.77516321982108,0.3703586883248647
2015-09-01,135.95366566975912,2.176099095943818
2015-10-01,138.01580712103075,0.889059325492987
2015-11-01,138.7376678466797,0.7643381628556858
2015-12-01,139.68741779942667,1.6333450528474358
2016-01-01,140.74806607154107,0.5586926952142254
2016-02-01,140.9624139193831,0.6242913169479724
2016-03-01,142.2299991730721,1.310473233004347
2016-04-01,142.7046666463216,0.8043668446527437
2016-05-01,143.30741734658517,0.551454855239106
2016-06-01,143.2826670328776,1.3041780945908326
2016-07-01,142.87064336961316,0.5071091851848193
2016-08-01,142.4954853673135,0.42262429108277777
2016-09-01,142.6616658528646,0.6334254431782512
2016-10-01,143.94322598365045,0.6108456387229405
2016-11-01,145.1786666870117,0.6790547261701494
2016-12-01,145.86935523248488,0.9218399751228782
2017-01-01,146.6090324155746,0.8498520294044059
2017-02-01,148.48964255196708,1.841494734049238
2017-03-01,148.56032193091607,0.9475914527331172
2017-04-01,149.596332804362,1.32406518513102
2017-05-01,149.39419358776462,0.5004255962928833
2017-06-01,149.7413335164388,0.43967013716409287
2017-07-01,150.58128947596396,1.1424647928927913
